!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
સત્યેન્દ્રનાથ	સત્ય@@ ે@@ ન્દ્ર@@ નાથ
સત્રીયા	સ@@ ત્ર@@ ીયા
સત્સંગીજીવન	સ@@ ત્@@ સંગ@@ ી@@ જી@@ વન
સત્સ્વરૂપદાસ	સ@@ ત્@@ સ્વ@@ રૂપ@@ દાસ
સદાનંદ	સ@@ દા@@ નંદ
સદી	સ@@ દી
સદીના	સ@@ દી ⧺ના
સનત	સન@@ ત
સનવાવ	સન@@ વાવ
સનેડો	સ@@ ને@@ ડો
સન્ડરલેન્ડ	સ@@ ન્ડ@@ ર@@ લેન્ડ
સન્ધિ	સ@@ ન્@@ ધ@@ િ
સન્ની	સ@@ ન્@@ ની
સન્માનીત	સ@@ ન્@@ મા@@ ની@@ ત
સપનોં	સ@@ પ@@ નો@@ ં
સપ્ટેમ્બર	સપ્ટેમ્બર
સપ્તક	સપ્@@ તક
સપ્તપદી	સપ્@@ ત@@ પ@@ દી
સપ્તપર્ણી	સપ્@@ ત@@ પર્@@ ણી
સપ્તર્ષિ	સપ્@@ ત@@ ર્@@ ષિ
સફરજન	સ@@ ફ@@ રજ@@ ન
સફવી	સ@@ ફ@@ વી
સફાઇ	સ@@ ફા@@ ઇ
સફારી	સ@@ ફ@@ ારી
સફેદ	સ@@ ફે@@ દ
સબ	સ@@ બ
સબમરીન	સ@@ બ@@ મ@@ રી@@ ન
સબસ્ટબ	સ@@ બ@@ સ્ટબ
સબા	સ@@ બા
સબાથ	સ@@ બા@@ થ
સભા	સભા
સભ્ય	સભ્ય
સભ્ય-ચેતવણી-૧	સભ્ય@@ -@@ ચે@@ ત@@ વ@@ ણી@@ -@@ ૧
સભ્યનામ	સભ@@ ્ય@@ નામ
સભ્યો	સભ્ય ⧺ો
સભ્યોની	સભ@@ ્યો@@ ની
સમઘટકતા	સમ@@ ઘ@@ ટ@@ ક@@ તા
સમઘન	સમ@@ ઘ@@ ન
સમચક્રણ	સમ@@ ચ@@ ક્ર@@ ણ
સમજૂતી	સમ@@ જૂ@@ તી
સમપ્રકાશીય	સમ@@ પ્રકા@@ શ@@ ીય
સમય	સમય
સમયક્રમ	સમ@@ ય@@ ક્રમ
સમયરેખા	સમ@@ ય@@ રેખા
સમયસાર	સમ@@ ય@@ સાર
સમલિંગી	સમ@@ લિ@@ ંગ@@ ી
સમવશરણ	સમ@@ વ@@ શ@@ રણ
સમસ્તીપુર	સમ@@ સ્@@ તી@@ પુર
સમાંતર	સમા@@ ં@@ તર
સમાંતરબાજુ	સમા@@ ં@@ તર@@ બા@@ જ@@ ુ
સમાચાર	સમા@@ ચાર
સમાચારપત્ર	સમા@@ ચાર@@ પ@@ ત્ર
સમાજ	સમા@@ જ
સમાજવાદી	સમા@@ જ@@ વા@@ દી
સમાજશાસ્ત્ર	સમા@@ જ@@ શાસ્ત્ર
સમાન	સ@@ માન
સમાનતાની	સ@@ માન@@ તા@@ ની
સમી	સ@@ મી
સમીર	સ@@ મીર
સમીરા	સ@@ મી@@ રા
સમુદાય	સમુ@@ દાય
સમુદ્ર	સમુ@@ દ્ર
સમુદ્રપુર	સમુ@@ દ્ર@@ પુર
સમુદ્રસેતુ	સમુ@@ દ્ર@@ સેતુ
સમુરાઇ	સમુ@@ રાઇ
સમુહ	સમુ@@ હ
સમૂહ	સમૂહ
સમેરિયમ	સ@@ મે@@ ર@@ િયમ
સમોઆ	સ@@ મો@@ આ
સમોસા	સ@@ મો@@ સા
સમૌ	સમ@@ ૌ
સમ્બિત	સ@@ મ્@@ બિ@@ ત
સમ્મેત	સ@@ મ્@@ મે@@ ત
સમ્રાટ	સમ@@ ્રા@@ ટ
સમ્રાટો	સમ@@ ્રા@@ ટ ⧺ો
સયાજી	સ@@ યા@@ જી
સયાજીરાવ	સ@@ યા@@ જી@@ રાવ
સયૌં	સ@@ ય@@ ૌ@@ ં
સર	સર
સરકાર	સરકાર
સરકારી	સરકાર ⧺ી
સરખેજ	સર@@ ખે@@ જ
સરગુજા	સર@@ ગુ@@ જા
સરચુ	સર@@ ચ@@ ુ
સરડોઈ	સર@@ ડો@@ ઈ
સરદાર	સરદાર
સરદારકૃષિનગર	સર@@ દાર@@ કૃ@@ ષિ@@ નગર
સરધાર	સર@@ ધાર
સરપંચ	સર@@ પં@@ ચ
સરમસ્ત	સર@@ મસ્@@ ત
સરવાળો	સર@@ વા@@ ળો
સરવૈયા	સર@@ વૈ@@ યા
સરસ	સર@@ સ
સરસવણી	સર@@ સ@@ વ@@ ણી
સરસાઇ	સર@@ સા@@ ઇ
સરસ્વતી	સર@@ સ્વ@@ તી
સરસ્વતીચંદ્ર	સર@@ સ્વ@@ તી@@ ચંદ્ર
સરાઇકેલા	સ@@ રાઇ@@ કે@@ લા
સરાઈકેલા	સ@@ રા@@ ઈ@@ કે@@ લા
સરિતા	સ@@ રિ@@ તા
સરીસૃપ	સ@@ રી@@ સ@@ ૃ@@ પ
સરોજ	સરો@@ જ
સરોજિની	સરો@@ જિ@@ ની
સરોવર	સરોવર
સરોસ	સરો@@ સ
સર્કલ	સર્@@ કલ
સર્ચ	સર્@@ ચ
સર્જક	સર્@@ જ@@ ક
સર્જિયો	સર્@@ જ@@ િયો
સર્પગ્રીવા	સર્@@ પ@@ ગ્રી@@ વા
સર્વપલ્લી	સર્@@ વ@@ પ@@ લ્@@ લી
સર્વમિત્ર	સર્@@ વ@@ મિ@@ ત્ર
સર્વર	સર્@@ વર
સર્વાનંદ	સર્@@ વા@@ નંદ
સર્વિસ	સર્@@ વિ@@ સ
સર્વોચ્ચ	સર્@@ વો@@ ચ્@@ ચ
સર્વોત્તમ	સર્@@ વો@@ ત્ત@@ મ
સલગમ	સલ@@ ગમ
સલમાન	સલ@@ માન
સલામ	સ@@ લામ
સલામત	સ@@ લા@@ મ@@ ત
સલાયા	સ@@ લા@@ યા
સલારીઆ	સલ@@ ાર@@ ી@@ આ
સલિલ	સ@@ લિ@@ લ
સલીમ	સ@@ લી@@ મ
સલીલ	સ@@ લી@@ લ
સલુગારા	સ@@ લુ@@ ગ@@ ારા
સલોટા	સ@@ લો@@ ટા
સલ્તનત	સ@@ લ્@@ ત@@ ન@@ ત
સલ્યાન	સ@@ લ્@@ યાન
સવાઇ	સ@@ વાઇ
સસલું	સ@@ સલ@@ ું
સસ્તન	સ@@ સ્@@ તન
સહકારી	સહ@@ ક@@ ારી
સહગલ	સહ@@ ગલ
સહદેવ	સહ@@ દેવ
સહપરિયોજનાઓ	સહ@@ પર@@ િયો@@ જ@@ ના@@ ઓ
સહરસા	સ@@ હર@@ સા
સહરાનપુર	સહ@@ રા@@ નપુર
સહસંબંધક	સહ@@ સં@@ બંધ@@ ક
સહસ્ત્ર	સહ@@ સ્@@ ત્ર
સહસ્ત્રકુંડ	સહ@@ સ્@@ ત્ર@@ કુંડ
સહસ્ત્રધારા,	સહ@@ સ્@@ ત્ર@@ ધા@@ રા@@ ,
સહસ્ત્રલિંગ	સહ@@ સ્@@ ત્ર@@ લિંગ
સહસ્રનામ	સહ@@ સ@@ ્ર@@ નામ
સહા	સહ@@ ા
સહાની	સ@@ હા@@ ની
સહી	સ@@ હી
સહીઓ	સહ@@ ીઓ
સાંઇબાબા	સાં@@ ઇ@@ બા@@ બા
સાંગ	સા@@ ંગ
સાંગણપુર	સા@@ ંગ@@ ણ@@ પુર
સાંગરેડ્ડી	સા@@ ંગ@@ રે@@ ડ્@@ ડી
સાંગલી	સા@@ ંગ@@ લી
સાંગા	સા@@ ંગા
સાંગાવાડી	સા@@ ંગા@@ વાડી
સાંચીનો	સાં@@ ચી@@ નો
સાંડેસરા	સા@@ ંડ@@ ે@@ સરા
સાંતલપુર	સા@@ ંત@@ લપુર
સાંદીપનિ	સા@@ ંદ@@ ી@@ પ@@ નિ
સાંદ્રતા	સા@@ ંદ@@ ્ર@@ તા
સાંધાણ	સાં@@ ધા@@ ણ
સાંપ્રદાયિક	સાં@@ પ્ર@@ દા@@ યિક
સાંસદ	સાં@@ સદ
સાઇરસ	સાઇ@@ રસ
સાઈડ	સા@@ ઈ@@ ડ
સાઉથ	સા@@ ઉ@@ થ
સાઉદી	સા@@ ઉ@@ દી
સાઉધમ્પ્ટન	સા@@ ઉધ@@ મ્પ્@@ ટન
સાઓ	સા@@ ઓ
સાક્રી	સા@@ ક્ર@@ ી
સાક્ષરતા	સા@@ ક્ષ@@ ર@@ તા
સાગ	સા@@ ગ
સાગબારા	સા@@ ગ@@ બ@@ ારા
સાગર	સાગર
સાગુઆરો	સા@@ ગુ@@ આ@@ રો
સાચવણી	સા@@ ચ@@ વ@@ ણી
સાઠંબા	સા@@ ઠ@@ ંબા
સાડી	સા@@ ડી
સાણંદ	સા@@ ણ@@ ંદ
સાણોદા	સા@@ ણો@@ દા
સાત	સા@@ ત
સાતતાલ	સા@@ ત@@ તાલ
સાતપુડા	સા@@ ત@@ પુ@@ ડા
સાતમ	સા@@ તમ
સાતવાહન	સા@@ ત@@ વા@@ હન
સાતારા	સા@@ ત@@ ારા
સાત્યકિ	સા@@ ત્ય@@ કિ
સાથે	સા@@ થ@@ ે
સાથોડી	સા@@ થો@@ ડી
સાદરા	સા@@ દરા
સાદિક	સા@@ દિ@@ ક
સાધના	સા@@ ધ@@ ના
સાધનોનો	સા@@ ધ@@ નો@@ નો
સાધુ	સા@@ ધુ
સાન	સાન
સાનિયા	સા@@ નિયા
સાપ	સા@@ પ
સાપસીડી	સા@@ પ@@ સી@@ ડી
સાપુતારા	સા@@ પુ@@ ત@@ ારા
સાબરકાંઠા	સાબર@@ કાં@@ ઠા
સાબરમતી	સાબરમતી
સાબિર	સા@@ બિ@@ ર
સાબુદાણા	સા@@ બુ@@ દા@@ ણા
સામ	સામ
સામખીયાળી	સામ@@ ખ@@ ીયા@@ ળી
સામત્રા	સામ@@ ત્રા
સામયિક	સામ@@ યિક
સામયિકો	સામ@@ યિક ⧺ો
સામવેદ	સામ@@ વેદ
સામાજિક	સામા@@ જિ@@ ક
સામાન્ય	સામા@@ ન્ય
સામાયિક	સામા@@ યિક
સામુદાયિક	સા@@ મુ@@ દા@@ યિક
સામો	સામ ⧺ો
સામ્યવાદી	સામ@@ ્ય@@ વા@@ દી
સામ્રાજ્ય	સામ્રાજ્ય
સાયકલિંગમાં	સાય@@ ક@@ લિ@@ ંગ@@ માં
સાયક્લોનિક	સાય@@ ક્@@ લો@@ નિક
સાયગલ	સાય@@ ગલ
સાયણ	સાય@@ ણ
સાયન	સાય@@ ન
સાયના	સા@@ ય ⧺ના
સાયન્સ	સાય@@ ન્સ
સાયપ્રસ	સાય@@ પ્ર@@ સ
સાયપ્રસનો	સાય@@ પ્ર@@ સનો
સાયમન	સાય@@ મન
સાયમન્ડ્સ	સાય@@ મ@@ ન્ડ@@ ્@@ સ
સાયલન્ટ	સાય@@ લ@@ ન્ટ
સાયલા	સાય@@ લા
સાર	સાર
સારન	સાર@@ ન
સારનાથ	સાર@@ નાથ
સારવાર	સાર@@ વાર
સારવારોની	સાર@@ વા@@ રો@@ ની
સારસા	સાર@@ સા
સારાભાઇ	સારા@@ ભાઇ
સારાભાઈ	સારા@@ ભાઈ
સારાવાક	સારા@@ વા@@ ક
સાર્ક	સા@@ ર્ક
સાર્વજનિક	સા@@ ર્વ@@ જ@@ નિક
સાર્વભૌમ	સા@@ ર્વ@@ ભૌ@@ મ
સાર્વભૌમત્વ	સા@@ ર્વ@@ ભૌ@@ મ@@ ત્વ
સાલ	સા@@ લ
સાલડી	સા@@ લ@@ ડી
સાલસકર	સા@@ લ@@ સ@@ કર
સાલ્ઝબર્ગ	સા@@ લ્@@ ઝ@@ બર્ગ
સાલ્વાડોરનો	સા@@ લ્@@ વા@@ ડો@@ ર@@ નો
સાળંગપુર	સા@@ ળ@@ ંગ@@ પુર
સાવંતવાડી	સા@@ વં@@ ત@@ વાડી
સાવનદુર્ગ	સા@@ વન@@ દુર્ગ
સાવર	સા@@ વર
સાવરકર	સા@@ વર@@ કર
સાવરકુંડલા	સા@@ વર@@ કુ@@ ંડ@@ લા
સાવલી	સા@@ વ@@ લી
સાવલી,	સા@@ વ@@ લી@@ ,
સાવિત્રી	સા@@ વિ@@ ત્રી
સાસારામ	સા@@ સા@@ રામ
સાહસિકતા	સા@@ હ@@ સિ@@ ક@@ તા
સાહિત્ય	સાહિત્ય
સાહિત્ય-સ્ટબ	સાહિત્ય@@ -@@ સ્ટબ
સાહિત્યકાર	સાહિત્યકાર
સાહિત્યકારો	સાહિત્યકાર ⧺ો
સાહિબ	સાહિ@@ બ
સાહિબગંજ	સાહિ@@ બ@@ ગંજ
સાહેબ	સાહેબ
સિંગ	સિ@@ ંગ
સિંગરૌલી	સિ@@ ંગ@@ ર@@ ૌ@@ લી
સિંગાપુર	સિ@@ ંગા@@ પુર
સિંગાપુરી	સિ@@ ંગા@@ પુર ⧺ી
સિંગાપોર	સિ@@ ંગા@@ પોર
સિંઘ	સિંઘ
સિંદેવાહી	સિ@@ ંદે@@ વા@@ હી
સિંધ	સિંધ
સિંધવ	સિં@@ ધ@@ વ
સિંધિયા	સિં@@ ધ@@ િયા
સિંધી	સિંધ ⧺ી
સિંધુ	સિંધુ
સિંધુદુર્ગ	સિંધુ@@ દુર્ગ
સિંધુપાલચોક	સિં@@ ધુ@@ પાલ@@ ચો@@ ક
સિંહ	સિંહ
સિંહભૂમ	સિંહ@@ ભૂ@@ મ
સિંહા	સિં@@ હા
સિંહાકૃતિ	સિં@@ હા@@ કૃ@@ તિ
સિએરા	સિ@@ એ@@ રા
સિકંદર	સિ@@ ક@@ ંદર
સિકર	સિ@@ કર
સિકરી	સિ@@ કર ⧺ી
સિકલસેલ	સિ@@ કલ@@ સે@@ લ
સિક્કા	સિક્@@ કા
સિક્કિમ	સિક્કિમ
સિક્કિમના	સિક્કિમ ⧺ના
સિક્રી	સિ@@ ક્ર@@ ી
સિગ	સિ@@ ગ
સિટી	સિટી
સિટીગ્રુપ	સિટી@@ ગ્ર@@ ુ@@ પ
સિતાંશુ	સિ@@ તા@@ ં@@ શ@@ ુ
સિતાર	સિ@@ તા@@ ર
સિદ્ધગિરિ	સિદ્ધ@@ ગિરિ
સિદ્ધપુર	સિદ્ધ@@ પુર
સિદ્ધરાજ	સિદ્ધ@@ રાજ
સિદ્ધાંત	સિદ્ધ@@ ાંત
સિદ્ધાંતો	સિદ્ધ@@ ાંત ⧺ો
સિદ્ધાર્થ	સિદ્@@ ધા@@ ર્થ
સિદ્ધાર્થનગર	સિદ્@@ ધા@@ ર્@@ થ@@ નગર
સિદ્ધિદાત્રી	સિદ્@@ ધિ@@ દા@@ ત્રી
સિદ્ધિવિનાયક	સિદ્@@ ધિ@@ વિ@@ નાયક
સિધવા	સિ@@ ધ@@ વા
સિધ્ધુ	સિ@@ ધ@@ ્@@ ધુ
સિનિક	સિ@@ નિક
સિનેમા	સિ@@ ને@@ મા
સિન્ડ્રેલા	સિ@@ ન્ડ@@ ્રે@@ લા
સિન્ડ્રોમ	સિ@@ ન્ડ@@ ્રો@@ મ
સિન્નર	સિ@@ ન્ન@@ ર
સિન્હા	સિ@@ ન્@@ હા
સિપા	સિ@@ પા
સિપાહી	સિ@@ પા@@ હી
સિમડેગા	સિ@@ મ@@ ડે@@ ગા
સિમા	સિ@@ મા
સિમ્બા	સિ@@ મ્@@ બા
સિમ્બાદ	સિ@@ મ્@@ બાદ
સિમ્બાયોસિસ	સિ@@ મ્@@ બા@@ યો@@ સિ@@ સ
સિયાંગ	સ@@ િય@@ ાંગ
સિયાબેહી	સ@@ િયા@@ બે@@ હી
સિયોત	સ@@ િયો@@ ત
સિરપુર,	સિ@@ ર@@ પુ@@ ર,
સિરમૌર	સિ@@ રમ@@ ૌ@@ ર
સિરસ	સિ@@ રસ
સિરસા	સિ@@ ર@@ સા
સિરિયલ	સિ@@ ર@@ િયલ
સિરિયા	સિ@@ રિયા
સિરિલ	સિ@@ રિ@@ લ
સિરીયમ	સિ@@ ર@@ ીયમ
સિરોહી	સિ@@ રો@@ હી
સિલચર	સિ@@ લ@@ ચર
સિલિકૉન	સિ@@ લિ@@ ક@@ ૉ@@ ન
સિલિકોન	સિ@@ લિ@@ કો@@ ન
સિલિગુડી	સિ@@ લિ@@ ગુ@@ ડી
સિલ્વર	સ@@ િલ્@@ વર
સિલ્વેસ્ટર	સ@@ િલ્@@ વે@@ સ્ટર
સિવની	સિ@@ વ@@ ની
સિવિલ	સિ@@ વિ@@ લ
સિસિફસ	સિ@@ સિ@@ ફ@@ સ
સિસોદીયા	સિ@@ સો@@ દ@@ ીયા
સિસ્કો	સિ@@ સ્@@ કો
સિસ્ટમ	સિ@@ સ્ટ@@ મ
સિહોર	સિ@@ હો@@ ર
સિહોર,	સિ@@ હો@@ ર,
સી	સી
સી.	સી.
સી.એન.આર.રાવ	સી@@ .@@ એન@@ .@@ આર@@ .@@ રાવ
સીંગપર	સી@@ ંગ@@ પર
સીઆઇડી	સી@@ આઇ@@ ડી
સીગીરીયા	સી@@ ગી@@ ર@@ ીયા
સીજુ	સી@@ જ@@ ુ
સીઝર	સી@@ ઝ@@ ર
સીટી	સી@@ ટી
સીડની	સી@@ ડ@@ ની
સીતા	સી@@ તા
સીતાપુર	સી@@ તા@@ પુર
સીતાફળ	સી@@ તા@@ ફ@@ ળ
સીતામઢી	સી@@ તા@@ મ@@ ઢ@@ ી
સીતામઢી,	સી@@ તા@@ મ@@ ઢ@@ ી@@ ,
સીતારામન	સી@@ તા@@ રામ@@ ન
સીદી	સી@@ દી
સીદીસૈયદની	સી@@ દી@@ સૈ@@ ય@@ દ@@ ની
સીધી	સી@@ ધ@@ ી
સીનુગ્રા	સી@@ નુ@@ ગ્ર@@ ા
સીબોર્ગીયમ	સી@@ બો@@ ર્@@ ગ@@ ીયમ
સીમલક	સી@@ મલ@@ ક
સીમા	સી@@ મા
સીરિયલ	સી@@ ર@@ િયલ
સીવાન	સી@@ વાન
સીસમ	સી@@ સ@@ મ
સીસીયમ	સી@@ સીયમ
સીસું	સી@@ સુ@@ ં
સુંદર	સુ@@ ંદર
સુંદરમ્	સુ@@ ંદ@@ રમ@@ ્
સુંદરવન	સુ@@ ંદ@@ ર@@ વન
સુંદરી	સુ@@ ંદર ⧺ી
સુંધા	સુ@@ ં@@ ધા
સુંવાળી	સુ@@ ં@@ વાળી
સુઈગામ	સુ@@ ઈ@@ ગામ
સુએઝ	સુ@@ એ@@ ઝ
સુકભાદર	સુ@@ ક@@ ભા@@ દર
સુકુમાર	સુ@@ કુમાર
સુકો	સુ@@ કો
સુખડી	સુખ@@ ડી
સુખદેવ	સુખ@@ દેવ
સુખલાલ	સુખ@@ લાલ
સુખી	સુખ@@ ી
સુગરી	સુ@@ ગ@@ રી
સુગ્રીવ	સુ@@ ગ્રી@@ વ
સુજ્જન	સુ@@ જ્@@ જન
સુઝલોન	સુ@@ ઝ@@ લો@@ ન
સુઝુકી	સુ@@ ઝુ@@ કી
સુત્રાપાડા	સુ@@ ત્રા@@ પા@@ ડા
સુથરી	સુ@@ થ@@ રી
સુદ	સુ@@ દ
સુદર્શન	સુ@@ દર્શન
સુદાન	સુ@@ દાન
સુદાસણા	સુ@@ દા@@ સ@@ ણા
સુધાગઢ	સુ@@ ધા@@ ગઢ
સુધારો	સુ@@ ધ@@ ારો
સુનામી	સુ@@ ના@@ મી
સુનિતા	સુ@@ નિ@@ તા
સુનિધિ	સુ@@ નિ@@ ધ@@ િ
સુનિલ	સુ@@ નિ@@ લ
